"","Sepal.L","Sepal.W","Petal.L","Petal.W","clus_labels"
"77",6.8,2.8,4.8,1.4,3
"78",6.7,3,5,1.7,2
"79",6,2.9,4.5,1.5,3
"80",5.7,2.6,3.5,1,3
"81",5.5,2.4,3.8,1.1,3
"82",5.5,2.4,3.7,1,3
"83",5.8,2.7,3.9,1.2,3
"84",6,2.7,5.1,1.6,3
"85",5.4,3,4.5,1.5,3
"86",6,3.4,4.5,1.6,3
"87",6.7,3.1,4.7,1.5,3
"88",6.3,2.3,4.4,1.3,3
"89",5.6,3,4.1,1.3,3
"90",5.5,2.5,4,1.3,3
"91",5.5,2.6,4.4,1.2,3
"92",6.1,3,4.6,1.4,3
"93",5.8,2.6,4,1.2,3
"94",5,2.3,3.3,1,3
"95",5.6,2.7,4.2,1.3,3
"96",5.7,3,4.2,1.2,3
"97",5.7,2.9,4.2,1.3,3
"98",6.2,2.9,4.3,1.3,3
"99",5.1,2.5,3,1.1,3
"100",5.7,2.8,4.1,1.3,3
"101",6.3,3.3,6,2.5,2
"102",5.8,2.7,5.1,1.9,3
"103",7.1,3,5.9,2.1,2
"104",6.3,2.9,5.6,1.8,2
"105",6.5,3,5.8,2.2,2
"106",7.6,3,6.6,2.1,2
"107",4.9,2.5,4.5,1.7,3
"108",7.3,2.9,6.3,1.8,2
"109",6.7,2.5,5.8,1.8,2
"110",7.2,3.6,6.1,2.5,2
"111",6.5,3.2,5.1,2,2
"112",6.4,2.7,5.3,1.9,2
"113",6.8,3,5.5,2.1,2
"114",5.7,2.5,5,2,3
"115",5.8,2.8,5.1,2.4,3
"116",6.4,3.2,5.3,2.3,2
"117",6.5,3,5.5,1.8,2
"118",7.7,3.8,6.7,2.2,2
"119",7.7,2.6,6.9,2.3,2
"120",6,2.2,5,1.5,3
"121",6.9,3.2,5.7,2.3,2
"122",5.6,2.8,4.9,2,3
"123",7.7,2.8,6.7,2,2
"124",6.3,2.7,4.9,1.8,3
"125",6.7,3.3,5.7,2.1,2
"126",7.2,3.2,6,1.8,2
"127",6.2,2.8,4.8,1.8,3
"128",6.1,3,4.9,1.8,3
"129",6.4,2.8,5.6,2.1,2
"130",7.2,3,5.8,1.6,2
"131",7.4,2.8,6.1,1.9,2
"132",7.9,3.8,6.4,2,2
"133",6.4,2.8,5.6,2.2,2
"134",6.3,2.8,5.1,1.5,3
"135",6.1,2.6,5.6,1.4,2
"136",7.7,3,6.1,2.3,2
"137",6.3,3.4,5.6,2.4,2
"138",6.4,3.1,5.5,1.8,2
"139",6,3,4.8,1.8,3
"140",6.9,3.1,5.4,2.1,2
"141",6.7,3.1,5.6,2.4,2
"142",6.9,3.1,5.1,2.3,2
"143",5.8,2.7,5.1,1.9,3
"144",6.8,3.2,5.9,2.3,2
"145",6.7,3.3,5.7,2.5,2
"146",6.7,3,5.2,2.3,2
"147",6.3,2.5,5,1.9,3
"148",6.5,3,5.2,2,2
"149",6.2,3.4,5.4,2.3,2
"150",5.9,3,5.1,1.8,3
