"","Case ID","Flower","Sepal.L","Sepal.W","Petal.L","Petal.W","Matched Neuron","BMU1","BMU2","BMUN","EUCDIS1","EUCDIS2","EUCDISN"
"25",25,25,4.8,3.4,1.9,0.2,5,5,10,21,5.59751403188034,10.2720678548454,88.0291681586728
"26",26,26,5,3,1.6,0.2,4,5,10,21,4.60777132705393,9.28155313878208,87.0372750003693
"27",27,27,5,3.4,1.6,0.4,5,5,10,21,3.59172847106331,8.27337346179253,86.0361185570559
"28",28,28,5.2,3.5,1.5,0.2,5,5,10,21,2.60644197398712,7.28341663735851,85.0425601580079
"29",29,29,5.2,3.4,1.4,0.2,5,5,10,21,1.63917186638984,6.29541741677214,84.0474702164353
"30",30,30,4.7,3.2,1.6,0.2,5,5,10,21,0.81655985562638,5.31451672936955,83.0474069292779
"31",31,31,4.8,3.1,1.6,0.2,5,5,10,21,0.681237713566655,4.32044565395426,82.046533921177
"32",32,32,5.4,3.4,1.5,0.4,5,5,10,21,1.46720237245016,3.3046387822974,81.040735195912
"33",33,33,5.2,4.1,1.5,0.1,5,10,5,21,2.46576434024406,2.55450450417869,80.0571250468921
"34",34,34,5.5,4.2,1.4,0.2,5,10,5,21,1.68203699929245,3.55618680238246,79.0590089291433
"35",35,35,4.9,3.1,1.5,0.1,5,10,4,21,0.828578104590087,2.94492388728218,78.0565445833764
"36",36,36,5,3.2,1.2,0.2,5,10,4,21,1.19151847355518,2.07479717895346,77.0689583158232
"37",37,37,5.5,3.5,1.3,0.2,5,4,10,21,1.22750969388784,1.93047151562878,76.0601992712931
"38",38,38,4.9,3.1,1.5,0.1,5,4,10,21,0.832358885689451,2.8539528194221,75.0610604734907
"39",39,39,4.4,3,1.3,0.2,5,4,10,21,1.70162429081187,3.9377430749418,74.0814614412536
"40",40,40,5.1,3.4,1.5,0.2,5,4,10,21,2.27563632888153,4.78398591980238,73.0597216408747
"41",41,41,5,3.5,1.3,0.3,5,4,15,21,3.28966435382056,3.95140182520641,72.0718960885649
"42",42,42,4.5,2.3,1.3,0.3,3,15,9,21,3.29456234939179,3.46131312795298,71.0855034737367
"43",43,43,4.4,3.2,1.3,0.2,5,15,9,21,2.39591190706876,2.52548577440503,70.0897575308786
"44",44,44,5,3.5,1.6,0.6,5,15,9,21,1.26409419411624,1.37185732695662,69.0559685557139
"45",45,45,5.1,3.8,1.9,0.4,5,9,15,21,0.853563265531642,0.957773455089502,68.0478676512338
"46",46,46,4.8,3,1.4,0.3,4,9,15,21,1.62523909161562,1.88886230808815,67.0778546440528
"47",47,47,5.1,3.8,1.6,0.2,5,9,15,21,2.31469640832278,2.58646655041143,66.0706080767004
"48",48,48,4.6,3.2,1.4,0.2,5,9,15,21,3.31780009077014,3.61149218223316,65.0897005390126
"49",49,49,5.3,3.7,1.5,0.2,5,3,9,21,2.74255930092229,4.17686837637301,64.0753938294629
"50",50,50,5,3.3,1.4,0.2,5,3,9,21,1.96144619171847,5.15990148657674,63.0852613904023
"51",51,51,7,3.2,4.7,1.4,24,3,14,21,2.74638371929875,6.48399045296523,61.9502239856978
"52",52,52,6.4,3.2,4.5,1.5,24,3,14,21,2.35676017256137,5.38923543177193,60.9475293454356
"53",53,53,6.9,3.1,4.9,1.5,24,3,14,21,3.27332214392206,4.717646785082,59.9475615943205
"54",54,54,5.5,2.3,4,1.3,1,3,14,21,3.13246000079208,3.38303149072927,58.9644833746223
"55",55,55,6.5,2.8,4.6,1.5,24,14,20,21,2.85460639866895,3.05012573024222,57.9467203186997
"56",56,56,5.7,2.8,4.5,1.3,1,14,20,21,1.91624165165428,2.0615625170034,56.9518846685832
"57",57,57,6.3,3.3,4.7,1.6,24,20,14,21,1.80935189873327,1.94986286249757,55.9462199047925
"58",58,58,4.9,2.4,3.3,1,1,20,14,21,1.26651673935077,1.42953550623915,54.998609882494
"59",59,59,6.6,2.9,4.6,1.3,24,20,14,21,2.27867848249467,2.71425409427771,53.9485713903716
"60",60,60,5.2,2.7,3.9,1.4,1,8,20,21,1.47341440245895,2.7343101087133,52.9702233806211
"61",61,61,5,2,3.5,1,1,8,20,21,1.302413762675,3.78451025115265,51.9984710949192
"62",62,62,5.9,3,4.2,1.5,25,8,20,21,1.67903584832349,4.64893294980812,50.9535827830084
"63",63,63,6,2.2,4,1,1,8,2,21,2.4447408821271,4.44313912240978,49.9677834339685
"64",64,64,6.1,2.9,4.7,1.4,24,8,2,21,3.51927162002353,3.66104496896362,48.9468934138325
"65",65,65,5.6,2.9,3.6,1.3,7,2,8,21,2.33928859504737,4.08268707952395,47.974039404692
"66",66,66,6.7,3.1,4.4,1.4,24,2,25,21,2.13108569146615,3.42359615696418,46.9518743362131
"67",67,67,5.6,3,4.5,1.5,12,2,25,21,1.38241548652132,2.44220771629657,45.9534973800523
"68",68,68,5.8,2.7,4.1,1,1,2,25,21,1.16436450186038,1.4199110443521,44.9644083591624
"69",69,69,6.2,2.2,4.5,1.5,6,25,2,21,1.23050642794715,2.40646726880475,43.9547986550239
"70",70,70,5.6,2.5,3.9,1.1,1,25,19,21,1.02987502534478,1.29075545092394,42.9732222274566
"71",71,71,5.9,3.2,4.8,1.8,24,19,25,21,1.24068619100427,2.04439906468493,41.9472486160963
"72",72,72,6.1,2.8,4,1.3,6,19,13,5,1.04066542777224,2.23129457346616,41.5019463926432
"73",73,73,6.3,2.5,4.9,1.5,11,13,19,5,1.88270491253763,2.38967296365411,42.5708976501523
"74",74,74,6.1,2.8,4.7,1.2,6,13,19,5,1.11120496846099,3.10022576933065,43.5370923306206
"75",75,75,6.4,2.9,4.3,1.3,24,13,7,5,1.22866269275734,2.67851251310225,44.5181902772784
"76",76,76,6.6,3,4.4,1.4,24,7,13,5,1.90747595002604,2.14941478889359,45.5286325409336
"77",77,77,6.8,2.8,4.8,1.4,23,7,1,5,1.65583977620037,2.65816702562953,46.5589289751741
"78",78,78,6.7,3,5,1.7,23,7,1,5,1.79002708251912,2.07563438323607,47.571200809027
"79",79,79,6,2.9,4.5,1.5,12,1,7,5,0.918139356417076,1.74598752102866,48.5165827892644
"80",80,80,5.7,2.6,3.5,1,1,1,24,5,0.943676303789593,2.25765324409209,49.4609155118792
"81",81,81,5.5,2.4,3.8,1.1,1,24,1,5,1.45836046560195,1.92265057169403,50.4742695585472
"82",82,82,5.5,2.4,3.7,1,1,24,1,5,1.16760801312266,2.90717034815514,51.468059424312
"83",83,83,5.8,2.7,3.9,1.2,1,24,1,5,1.224195409431,3.87636781069754,52.4754995883482
"84",84,84,6,2.7,5.1,1.6,11,24,18,5,2.22247121879682,3.22029476101083,53.5454544441207
"85",85,85,5.4,3,4.5,1.5,12,18,24,5,2.19829068560982,3.1208098965156,54.4992926684913
"86",86,86,6,3.4,4.5,1.6,24,18,6,5,1.19064422283178,2.53521966472595,55.5043011509429
"87",87,87,6.7,3.1,4.7,1.5,23,18,6,5,0.800925023737043,1.80218558654794,56.5257693376704
"88",88,88,6.3,2.3,4.4,1.3,6,6,18,5,0.885981193995157,1.20351004254324,57.5062321765676
"89",89,89,5.6,3,4.1,1.3,12,12,6,5,0.546715237903678,0.637926316172669,58.4742147260749
"90",90,90,5.5,2.5,4,1.3,1,12,6,5,0.872686960871922,1.64926343230257,59.4741754718115
"91",91,91,5.5,2.6,4.4,1.2,6,12,6,5,1.69109869251302,2.62654967751808,60.4862869183178
"92",92,92,6.1,3,4.6,1.4,18,12,6,5,2.61875517444188,3.62842884259216,61.4992969926238
"93",93,93,5.8,2.6,4,1.2,6,23,12,5,2.9492608656777,3.61257218351897,62.4710104015233
"94",94,94,5,2.3,3.3,1,1,23,11,5,2.73172175948825,4.77463023995147,63.4490737934273
"95",95,95,5.6,2.7,4.2,1.3,6,23,11,5,1.19237348253945,3.48965874355105,64.4751569349507
"96",96,96,5.7,3,4.2,1.2,12,23,11,5,0.850472105842261,2.50275054297065,65.4712213470376
"97",97,97,5.7,2.9,4.2,1.3,6,23,11,5,1.45413020141223,1.52108838213933,66.4724169241067
"98",98,98,6.2,2.9,4.3,1.3,11,11,17,5,0.572791394795812,2.05436312675415,67.4809543946828
"99",99,99,5.1,2.5,3,1.1,1,11,17,5,1.93317960247818,2.2944376985414,68.438885822966
"100",100,100,5.7,2.8,4.1,1.3,6,17,11,5,0.775226374896498,1.65560921035207,69.4674754693062
"101",101,101,6.3,3.3,6,2.5,21,17,11,5,1.9468054658638,3.1620783533163,70.5851781719782
"102",102,102,5.8,2.7,5.1,1.9,16,17,11,5,2.11227150849542,3.6356370750241,71.5173626871031
"103",103,103,7.1,3,5.9,2.1,21,17,22,5,3.42627937383668,3.9407239961247,72.5818822516913
"104",104,104,6.3,2.9,5.6,1.8,21,22,16,5,2.79407560496129,3.32084843513467,73.541127474406
"105",105,105,6.5,3,5.8,2.2,21,22,16,5,1.98739410505439,2.50452492934693,74.5614417557908
"106",106,106,7.6,3,6.6,2.1,21,22,16,5,2.26067911696192,2.6022797100581,75.6309556060952
"107",107,107,4.9,2.5,4.5,1.7,6,16,22,5,1.40751830651874,1.55483494577992,76.4836596465195
"108",108,108,7.3,2.9,6.3,1.8,21,16,22,5,1.98467460762846,2.1225887034541,77.5931453226833
"109",109,109,6.7,2.5,5.8,1.8,21,16,22,5,2.11316826716677,2.51675658902491,78.5534471655538
"110",110,110,7.2,3.6,6.1,2.5,21,16,21,5,3.38084272528,3.38462404351827,79.5896991211053
"111",111,111,6.5,3.2,5.1,2,21,21,16,5,1.98318249020597,3.81566454717375,80.5140604029562
"112",112,112,6.4,2.7,5.3,1.9,21,21,16,5,1.01313629009822,4.8035657164089,81.5203642830799
"113",113,113,6.8,3,5.5,2.1,21,21,16,5,0.730933218390262,5.85375366978141,82.5367835637633
"114",114,114,5.7,2.5,5,2,16,21,16,5,1.32251189455815,6.80661613092694,83.5023767558243
"115",115,115,5.8,2.8,5.1,2.4,21,21,16,5,2.21622615457623,7.81653788955325,84.5120224960102
"116",116,116,6.4,3.2,5.3,2.3,21,21,16,5,3.12180166693085,8.8096976384046,85.5212287031331
"117",117,117,6.5,3,5.5,1.8,21,21,16,5,4.08261727025701,9.79503152950201,86.5207143716033
"118",118,118,7.7,3.8,6.7,2.2,21,21,16,5,5.57031651925707,11.0781631269406,87.6124550238451
"119",119,119,7.7,2.6,6.9,2.3,21,21,16,5,6.50586054849885,12.0606267692178,88.6261287353239
"120",120,120,6,2.2,5,1.5,11,21,16,5,7.10829099725822,12.7900106311417,89.4946966831471
"121",121,121,6.9,3.2,5.7,2.3,21,21,16,5,8.12316495655481,13.8300197929171,90.5400289978767
"122",122,122,5.6,2.8,4.9,2,16,21,16,5,9.09009655618148,14.7831218764531,91.4887045474528
"123",123,123,7.7,2.8,6.7,2,21,21,16,5,10.2839830564313,15.9512375695978,92.5991015888698
"124",124,124,6.3,2.7,4.9,1.8,21,21,16,5,11.0609061382483,16.7699098853844,93.4903484549613
"125",125,125,6.7,3.3,5.7,2.1,21,21,16,5,12.0882234013756,17.8047200424552,94.5274355661294
"126",126,126,7.2,3.2,6,1.8,21,21,16,5,13.1213452884309,18.8325299403127,95.5434205963153
"127",127,127,6.2,2.8,4.8,1.8,21,21,16,5,14.0605973718658,19.768414485775,96.4831958669134
"128",128,128,6.1,3,4.9,1.8,21,21,16,5,15.0591136261785,20.7683172701203,97.4836822898001
"129",129,129,6.4,2.8,5.6,2.1,21,21,16,5,16.0691653924772,21.7858962091005,98.5166171686629
"130",130,130,7.2,3,5.8,1.6,21,21,16,5,17.0956608382427,22.8099744702796,99.528038720947
"131",131,131,7.4,2.8,6.1,1.9,21,21,16,5,18.119120811694,23.8326145820109,100.54865465377
"132",132,132,7.9,3.8,6.4,2,21,21,16,5,19.1883746876999,24.8932592261219,101.573452035465
"133",133,133,6.4,2.8,5.6,2.2,21,21,16,5,20.0685510476789,25.7849591914428,102.514540656729
"134",134,134,6.3,2.8,5.1,1.5,21,21,16,5,21.0586461610572,26.7694424452894,103.485255902344
"135",135,135,6.1,2.6,5.6,1.4,16,21,16,5,22.0691900283906,27.780175130508,104.499913784692
"136",136,136,7.7,3,6.1,2.3,21,21,16,5,23.127078655993,28.8417490730136,105.554914956632
"137",137,137,6.3,3.4,5.6,2.4,21,21,16,5,24.0745222734953,29.7901805092586,106.511904426398
"138",138,138,6.4,3.1,5.5,1.8,21,21,16,5,25.0605116687955,30.7757705788215,107.499289343123
"139",139,139,6,3,4.8,1.8,21,21,16,5,26.0598712587509,31.768450813444,108.473474162867
"140",140,140,6.9,3.1,5.4,2.1,21,21,16,5,27.0672854742331,32.7834455083665,109.505549795762
"141",141,141,6.7,3.1,5.6,2.4,21,21,16,5,28.071518874081,33.7883277774683,110.513659594307
"142",142,142,6.9,3.1,5.1,2.3,21,21,16,5,29.0678420896246,34.7823413159234,111.498008601133
"143",143,143,5.8,2.7,5.1,1.9,21,21,16,5,30.0620502028087,35.7716449967325,112.481386440698
"144",144,144,6.8,3.2,5.9,2.3,21,21,16,5,31.0766619608026,36.7941700777698,113.521014793244
"145",145,145,6.7,3.3,5.7,2.5,21,21,16,5,32.0750889858383,37.7918375540794,114.515213002147
"146",146,146,6.7,3,5.2,2.3,21,21,16,5,33.0633670880745,38.7779539746107,115.495642196252
"147",147,147,6.3,2.5,5,1.9,21,21,16,5,34.0598042741794,39.7707528328569,116.481514735367
"148",148,148,6.5,3,5.2,2,21,21,16,5,35.0579927162634,40.771697209938,117.487344344003
"149",149,149,6.2,3.4,5.4,2.3,21,21,16,5,36.0647405618958,41.7787597165658,118.493634099716
"150",150,150,5.9,3,5.1,1.8,21,21,16,5,37.0587136328988,42.769317055064,119.475692229071
